bin_lo,bin_hi,n,mean,std
0.5,1.0,770,0.010556081680327867,0.009415238000976099
1.0,1.5,239,0.023479929220753985,0.01622100634349817
1.5,2.0,78,0.03294037582186233,0.020686438322058152
2.0,3.0,58,0.03606511500485661,0.03294325382036422
3.0,4.0,3,0.05014287954489705,0.03668644664632217
4.0,5.5,0,,
