bin_lo,bin_hi,n,mean,std
0.5,1.0,770,11.283992877507844,10.382087058928255
1.0,1.5,239,16.18153612475421,8.638351871257102
1.5,2.0,78,14.06603114824103,7.316260352047777
2.0,3.0,58,16.394173076228057,8.159144435221517
3.0,4.0,3,5.554183076722981,1.8325961688597654
4.0,5.5,0,,
